JPT_SJR_KO,C,3;JPT_POWIER,N,19,11;JPT_KOD_JE,C,20;JPT_NAZWA_,C,128;JPT_ORGAN_,C,254;JPT_JOR_ID,N,9,0;WERSJA_OD,D;WERSJA_DO,D;WAZNY_OD,D;WAZNY_DO,D;JPT_KOD__1,C,3;JPT_NAZWA1,C,3;JPT_ORGAN1,C,3;JPT_WAZNA_,C,3;ID_BUFORA_,N,19,11;ID_BUFORA1,N,19,11;ID_TECHNIC,N,9,0;IIP_PRZEST,C,20;IIP_IDENTY,C,128;IIP_WERSJA,C,32;JPT_KJ_IIP,C,20;JPT_KJ_I_1,C,128;JPT_KJ_I_2,C,32;JPT_OPIS,C,254;JPT_SPS_KO,C,3;ID_BUFOR_1,N,9,0;JPT_ID,N,9,0;JPT_POWI_1,N,19,11;JPT_KJ_I_3,C,3;JPT_GEOMET,N,19,11;JPT_GEOM_1,N,19,11;Shape_Leng,N,19,11;Shape_Area,N,19,11;REGON,C,254
POW;2551;2474;powiat Siemianowice Śląskie;;13421;28.03.2023;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;326039;0;829262;PL.PZGIK.200;e37b71a8-f9bb-4c8b-9d27-a642715c638e;2023-03-28T07:31:18+02:00;EGIB;2474;;;UZG;0;1367628;0;;0;0;0,3262195795;0,0032199572;brak
POW;8534;2467;powiat Jastrzębie-Zdrój;;13421;13.06.2023;2.01.1;26.09.2012;2.01.1;;;NZN;BRK;335487;0;1331290;PL.PZGIK.200;e061ae2d-f772-4190-82fc-9b09071f70bd;2023-06-13T11:53:23+02:00;EGIB;2467;;;UZG;0;1368241;0;;0;0;0,7681603389;0,0106913583;27625535800000
POW;164622;3209;powiat koszaliński;;13423;20.09.2023;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;345614;0;829300;PL.PZGIK.200;652f6c52-e721-4c44-818a-94061386603b;2023-09-20T14:22:21+02:00;EGIB;3209;;;UZG;0;1368979;0;;0;0;5,0480507327;0,2264690916;33092085400000
POW;47163;1217;powiat tatrzański;;13412;14.11.2023;2.01.1;26.09.2012;2.01.1;;;NZN;BRK;349776;0;1331308;PL.PZGIK.200;c0a73975-a7cb-4cb2-88bb-a722b2210347;2023-11-14T15:13:56+01:00;EGIB;1217;;;UZG;0;1369519;0;;0;0;1,5353227264;0,0583029697;49189312100000
POW;4617;1862;powiat Przemyśl;;13415;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13878;0;829093;PL.PZGIK.200;f4da5f0e-4820-4fc4-8733-89ea3e995ffc;2012-09-27T08:01:01+02:00;EGIB;1862;;;UZG;0;829093;0;;0;0;0,5143704253;0,0057632906;65090034100000
POW;125643;0619;powiat włodawski;;13411;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13874;0;829005;PL.PZGIK.200;57ba36b7-aafd-4dce-92ad-903375b14f38;2012-09-27T07:39:43+02:00;EGIB;0619;;;UZG;0;829005;0;;0;0;3,2087068275;0,1626159656;11019819000000
POW;7237;1263;powiat Tarnów;;13412;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13875;0;829028;PL.PZGIK.200;445d2b9f-72f1-48e9-8bde-cf1bd8cbfa80;2012-09-27T07:52:01+02:00;EGIB;1263;;;UZG;0;829028;0;;0;0;0,5645330722;0,0090797928;85166052000000
POW;62433;0812;powiat wschowski;;13414;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13877;0;829057;PL.PZGIK.200;e26f8239-1c9d-43ae-bcb0-f7d73422446c;2012-09-27T08:00:40+02:00;EGIB;0812;;;UZG;0;829057;0;;0;0;2,3113111562;0,0813970926;97794584700000
POW;138758;0803;powiat międzyrzecki;;13414;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13877;0;829062;PL.PZGIK.200;d45506aa-6d98-45b8-b9ed-9f4b6c34bca6;2012-09-27T08:00:40+02:00;EGIB;0803;;;UZG;0;829062;0;;0;0;2,8384282042;0,183659272;21096737200000
POW;101162;3015;powiat nowotomyski;;13417;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13881;0;829153;PL.PZGIK.200;506e235c-2b59-4e2a-ab82-bf295e7449f5;2012-09-27T08:59:03+02:00;EGIB;3015;;;UZG;0;829153;0;;0;0;2,6960540209;0,1334311118;63125803000000
POW;103967;3028;powiat wągrowiecki;;13417;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13881;0;829166;PL.PZGIK.200;1f95f92e-8779-49c4-94d7-d9139d526841;2012-09-27T08:59:03+02:00;EGIB;3028;;;UZG;0;829166;0;;0;0;2,8477795174;0,1385555664;57079949600000
POW;138506;2003;powiat bielski;;13418;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13882;0;829186;PL.PZGIK.200;409d7d55-3ec7-48fc-b67f-dc58de8f4566;2012-09-27T09:26:09+02:00;EGIB;2003;;;UZG;0;829186;0;;0;0;2,8334545664;0,1843187466;05065857400000
POW;61671;2607;powiat ostrowiecki;;13419;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13883;0;829207;PL.PZGIK.200;ed6f3a39-6e8b-469b-af2c-d6048d894480;2012-09-27T09:32:07+02:00;EGIB;2607;;;UZG;0;829207;0;;0;0;2,1746419503;0,0788731919;29100944900000
POW;39541;2610;powiat skarżyski;;13419;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13883;0;829210;PL.PZGIK.200;2e081013-33e6-408d-be60-cb22c1564176;2012-09-27T09:32:07+02:00;EGIB;2610;;;UZG;0;829210;0;;0;0;1,6540956361;0,0507176433;29100941000000
POW;7982;2861;powiat Elbląg;;13422;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13886;0;829287;PL.PZGIK.200;7a30b48f-743c-4d8c-8305-a749888364ad;2012-09-27T10:00:59+02:00;EGIB;2861;;;UZG;0;829287;0;;0;0;0,8283424797;0,0109853011;17074771500000
POW;57587;0226;powiat złotoryjski;;13410;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13888;0;829314;PL.PZGIK.200;07f182b1-9146-43e5-a62d-836c211f9ff1;2012-09-27T07:36:28+02:00;EGIB;0226;;;UZG;0;829314;0;;0;0;1,8693248262;0,0739045726;39064724500000
POW;111790;0223;powiat wrocławski;;13410;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13888;0;829339;PL.PZGIK.200;3c84e4e6-19b3-4595-b27a-f6bc2afc1c5f;2012-09-27T07:36:28+02:00;EGIB;0223;;;UZG;0;829339;0;;0;0;3,8164960121;0,1432099766;93193481600000
POW;71162;0211;powiat lubiński;;13410;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13888;0;829327;PL.PZGIK.200;2f4596d4-19cd-472a-9915-ac7b52a66a3c;2012-09-27T07:36:28+02:00;EGIB;0211;;;UZG;0;829327;0;;0;0;2,0043610195;0,0919529625;39064722200000
POW;60722;0411;powiat radziejowski;;13424;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13889;0;829350;PL.PZGIK.200;c62d2555-0688-4c52-b4b0-fbc35c206b5b;2012-09-27T07:38:30+02:00;EGIB;0411;;;UZG;0;829350;0;;0;0;1,7089453851;0,0805076574;91086660800000
